I,F,H,G,A,T
77,77,113,Male,59,62
147,147,87,Male,24,223
80,80,140,Male,36,126
16,73,98,Male,38,215
98,40,133,Male,29,68
56,56,143,Female,37,211
152,152,114,Female,34,238
99,79,112,Female,31,91
29,29,152,Male,30,158
142,142,122,Female,40,3
122,122,130,Female,31,25
28,28,95,Female,17,87
193,193,144,Female,25,36
67,67,124,Female,26,78
134,134,117,Female,30,145
182,182,133,Female,30,66
22,22,114,Female,33,113
95,95,144,Male,39,208
95,86,135,Male,39,209
72,16,113,Female,26,281
141,136,150,Female,30,207
1,1,89,Male,34,88
102,102,116,Female,23,246
62,62,130,Male,44,297
104,104,132,Female,28,147
129,129,150,Male,22,263
192,192,120,Female,24,119
146,146,109,Male,29,81
160,160,109,Female,29,303
4,92,128,Male,31,123
112,112,140,Male,38,266
162,162,136,Male,32,144
154,17,118,Male,35,10
90,90,95,Male,33,100
23,23,135,Male,31,307
79,79,149,Male,38,292
32,32,120,Female,41,271
44,44,144,Male,30,244
32,32,142,Female,41,264
49,14,140,Male,28,126
51,51,159,Male,40,262
134,4,101,Male,30,143
68,68,119,Female,46,297
187,187,138,Male,35,216
158,158,172,Male,33,41
146,146,126,Female,29,82
157,157,103,Male,32,88
183,183,102,Female,25,185
103,103,148,Male,31,54
30,30,111,Female,35,282
153,153,150,Male,33,84
87,50,108,Female,35,213
90,90,145,Male,33,95
98,98,143,Female,29,69
104,104,118,Female,28,143
39,39,80,Female,20,168
39,39,98,Male,20,164
169,169,111,Female,32,74
89,89,123,Male,19,173
95,95,147,Female,39,210
25,25,108,Male,36,232
125,125,142,Male,23,149
184,184,131,Female,35,278
45,37,167,Female,48,279
56,56,123,Male,37,203
147,147,119,Male,24,225
140,140,113,Male,31,215
182,182,132,Male,30,71
0,0,116,Male,50,130
178,178,103,Female,53,228
63,63,118,Male,34,207
18,18,130,Female,21,240
16,16,120,Male,38,213
29,29,104,Female,30,162
63,63,139,Male,34,206
64,64,111,Female,28,3
113,113,143,Male,33,151
92,92,109,Male,32,77
54,54,96,Male,22,260
157,157,147,Female,32,90
11,11,129,Male,24,188
30,30,127,Male,35,279
58,58,154,Male,30,258
186,186,118,Male,28,26
53,53,109,Female,46,105
43,43,101,Female,33,213
128,128,130,Male,46,128
181,54,158,Male,34,199
99,99,121,Male,31,86
194,194,101,Female,19,57
145,145,121,Male,26,17
100,100,128,Female,27,54
42,42,142,Male,54,326
182,182,131,Male,30,72
127,127,79,Female,43,84
23,23,110,Female,31,301
76,76,131,Male,35,31
53,53,105,Male,46,96
110,110,131,Female,38,34
181,181,141,Male,34,200
52,96,110,Female,28,144
60,60,174,Female,32,230
80,80,112,Male,36,132
26,26,100,Male,29,85
77,77,153,Male,59,62
141,93,135,Female,30,201
97,97,133,Female,34,318
177,177,125,Male,46,23
92,92,119,Male,32,77
46,46,139,Female,27,156
127,127,128,Female,43,89
2,2,168,Male,20,120
148,148,140,Male,30,85
60,60,129,Male,32,231
90,90,98,Female,33,93
97,97,111,Female,34,315
114,114,146,Male,51,299
54,54,132,Female,22,256
1,1,128,Male,34,87
67,67,108,Female,26,85
136,136,115,Female,45,254
50,50,115,Male,22,40
34,34,117,Male,22,194
144,144,146,Male,31,147
79,79,138,Male,38,292
76,76,121,Male,35,41
126,126,99,Female,43,168
70,41,151,Female,34,207
99,99,126,Female,31,90
184,184,125,Female,35,277
144,144,123,Male,31,146
177,177,175,Male,46,25
77,77,109,Female,59,59
67,67,114,Male,26,79
167,167,89,Female,37,229
98,98,111,Female,29,71
31,31,115,Female,33,203
55,55,110,Female,31,233
145,145,129,Female,26,25
128,128,120,Male,46,127
77,77,164,Male,59,55
108,108,113,Male,30,292
33,33,156,Female,36,181
73,73,87,Male,39,203
163,50,116,Female,26,124
135,135,170,Female,17,318
184,184,128,Male,35,278
59,59,121,Male,39,283
84,84,115,Male,33,105
87,87,115,Female,35,216
189,189,135,Male,26,152
154,154,132,Female,35,7
56,56,126,Female,37,202
12,12,130,Female,35,161
182,182,159,Male,30,71
159,159,125,Male,52,122
16,16,126,Female,38,218
76,76,133,Male,35,32
25,46,109,Female,36,227
53,53,126,Male,46,95
77,77,144,Male,59,59
48,48,101,Female,21,246
92,75,106,Male,32,83
151,151,97,Male,37,238
140,140,141,Female,31,217
168,102,119,Male,22,196
16,16,142,Male,38,211
200,200,112,Male,28,232
189,189,133,Male,26,157
122,122,117,Male,31,28
106,106,119,Female,21,200
193,193,116,Female,25,32
176,176,131,Male,26,103
156,156,123,Female,37,322
191,191,108,Male,29,255
48,48,121,Male,21,247
96,96,106,Female,39,147
120,120,130,Female,47,153
10,10,111,Male,26,125
157,157,114,Male,32,86
8,8,121,Female,23,121
5,5,145,Female,27,74
32,32,105,Male,41,266
82,82,134,Male,43,243
171,171,107,Female,37,25
53,53,111,Female,46,103
46,46,133,Female,27,159
191,191,160,Female,29,253
99,99,109,Female,31,94
139,139,140,Male,29,84
112,112,145,Female,38,263
132,132,114,Male,30,332
196,196,123,Female,29,285
30,30,124,Female,35,285
37,37,139,Male,47,34
114,114,107,Female,51,301
86,86,158,Male,21,200
45,45,129,Male,48,282
95,95,137,Male,39,210
75,75,135,Female,36,269
133,133,115,Male,52,207
55,55,157,Female,31,229
139,139,178,Female,29,88
185,185,127,Female,36,60
137,137,145,Female,63,113
125,125,134,Male,23,145
49,49,135,Male,28,123
13,13,105,Female,20,291
24,24,121,Male,37,96
197,197,123,Female,30,44
9,9,136,Male,45,97
183,183,113,Male,25,186
70,86,149,Male,34,211
78,78,114,Female,22,285
15,15,97,Male,56,45
172,149,104,Male,30,249
64,64,114,Female,28,7
18,18,130,Female,21,235
181,181,155,Male,34,208
119,119,98,Male,49,48
143,143,94,Female,26,305
22,22,131,Female,33,114
17,17,131,Female,23,98
61,61,110,Male,31,260
62,62,114,Male,44,295
45,79,157,Female,48,289
112,112,126,Female,38,266
185,185,120,Female,36,52
2,2,148,Male,20,120
124,124,90,Female,29,87
20,20,106,Male,37,108
158,158,166,Male,33,45
115,115,119,Male,30,180
122,122,132,Male,31,26
13,13,110,Male,20,284
200,200,163,Female,28,235
152,152,126,Female,34,238
20,1,113,Female,37,108
42,36,113,Male,54,325
104,104,120,Male,28,144
24,24,157,Male,37,97
51,51,155,Male,40,264
127,127,123,Male,43,87
79,79,126,Male,38,288
148,148,134,Male,30,88
98,98,124,Female,29,70
44,20,133,Male,30,244
183,183,117,Male,25,184
127,127,120,Female,43,88
28,28,111,Female,17,91
142,162,130,Female,40,10
114,114,115,Male,51,299
152,152,152,Male,34,241
60,60,146,Female,32,231
31,31,86,Female,33,202
34,34,142,Male,22,195
199,199,94,Female,24,181
181,181,146,Male,34,202
25,25,103,Male,36,234
177,177,94,Female,46,31
31,31,130,Female,33,196
110,110,117,Male,38,40
133,129,144,Male,52,209
19,19,114,Female,45,254
191,191,114,Female,29,256
21,21,122,Female,16,211
141,141,123,Female,30,199
176,176,147,Male,26,107
144,144,157,Female,31,147
138,138,141,Male,27,3
126,126,114,Female,43,181
56,56,140,Female,37,202
116,116,118,Female,25,135
144,144,131,Male,31,141
28,35,102,Female,17,87
11,11,140,Male,24,185
86,86,137,Male,21,197
93,93,129,Male,59,136
122,122,116,Male,31,29
146,146,86,Female,29,82
187,187,147,Female,35,214
155,155,96,Female,42,99
132,132,115,Male,30,335
144,144,134,Female,31,148
151,151,146,Male,37,237
21,21,168,Male,16,210
112,112,147,Male,38,258
134,62,135,Female,30,147
24,24,127,Male,37,95
50,44,119,Female,22,34
190,190,137,Female,45,96
197,46,141,Male,30,54
111,125,150,Female,28,283
87,87,107,Female,35,212
54,54,114,Male,22,255
200,200,146,Male,28,237
157,157,119,Male,32,91
50,50,114,Female,22,40
154,154,91,Female,35,2
131,131,100,Female,24,288
92,78,139,Female,32,79
18,18,138,Male,21,234
198,198,118,Male,10,300
185,185,120,Female,36,56
19,19,140,Male,45,254
23,7,153,Male,31,308
199,199,104,Male,24,180
32,32,98,Female,41,265
41,41,116,Male,30,166
153,153,110,Female,33,82
3,3,130,Male,42,43
42,42,135,Female,54,327
79,66,122,Female,38,291
12,12,129,Male,35,164
119,119,137,Female,49,48
172,172,128,Male,30,259
96,96,124,Male,39,145
59,59,167,Male,39,281
87,69,96,Female,35,208
60,1,157,Female,32,225
127,127,104,Female,43,88
124,124,128,Male,29,83
122,122,109,Female,31,26
113,113,110,Female,33,151
8,8,124,Female,23,111
193,35,102,Female,25,32
62,62,104,Male,44,293
175,175,164,Male,60,318
167,167,92,Male,37,223
46,46,143,Female,27,159
168,168,134,Female,22,192
174,174,125,Female,25,160
5,5,128,Male,27,80
85,85,81,Male,20,30
184,184,141,Female,35,271
49,49,144,Male,28,120
6,41,104,Female,48,187
139,139,130,Male,29,83
24,24,134,Male,37,101
110,110,116,Male,38,46
39,17,104,Female,20,167
3,1,120,Male,42,46
93,93,134,Male,59,138
18,18,114,Female,21,237
75,75,89,Female,36,268
143,143,95,Male,26,305
14,9,138,Male,41,308
62,62,142,Male,44,297
98,98,134,Female,29,65
180,180,96,Female,20,21
183,183,123,Male,25,189
79,79,124,Male,38,295
117,117,87,Male,26,98
32,32,95,Male,41,266
22,13,127,Female,33,111
94,94,143,Female,39,167
122,122,166,Male,31,23
138,97,121,Female,27,5
180,180,134,Female,20,24
24,24,145,Female,37,101
30,30,124,Female,35,282
14,14,147,Female,41,302
40,40,116,Female,28,187
39,39,136,Female,20,164
100,100,146,Female,27,52
59,59,142,Male,39,279
66,66,157,Female,51,229
199,199,139,Female,24,187
159,159,105,Female,52,118
125,125,158,Male,23,152
6,6,128,Male,48,185
60,60,147,Female,32,222
1,1,115,Female,34,88
118,118,133,Female,34,234
177,177,138,Female,46,18
3,2,154,Male,42,47
147,147,124,Female,24,221
85,85,128,Female,20,38
147,147,116,Male,24,224
21,21,153,Female,16,212
72,72,105,Female,26,283
12,12,148,Female,35,161
81,81,108,Male,27,283
29,29,132,Male,30,155
154,154,140,Male,35,2
116,116,101,Female,25,139
142,183,116,Male,40,6
170,170,142,Female,31,134
173,173,142,Male,29,150
147,147,103,Female,24,226
26,13,106,Female,29,82
100,100,109,Female,27,54
93,93,135,Male,59,147
8,16,118,Female,23,114
71,71,129,Female,24,285
35,35,135,Male,42,77
196,196,116,Male,29,290
39,39,117,Female,20,165
158,158,137,Male,33,44
42,42,124,Male,54,324
145,145,142,Female,26,22
106,98,89,Female,21,203
155,155,127,Female,42,100
139,139,158,Male,29,80
88,88,148,Male,44,141
116,116,112,Female,25,141
184,184,124,Female,35,273
169,169,110,Female,32,62
182,182,114,Male,30,71
144,144,123,Male,31,152
178,178,134,Male,53,225
82,82,147,Male,43,245
87,86,82,Female,35,213
7,7,158,Female,41,243
184,184,155,Female,35,270
34,1,146,Male,22,201
143,143,109,Male,26,303
183,183,118,Female,25,184
113,113,101,Male,33,150
13,5,123,Female,20,295
9,31,133,Female,45,100
65,65,137,Female,40,200
92,92,115,Female,32,77
59,59,119,Male,39,283
197,197,140,Female,30,52
130,130,150,Male,32,213
49,49,99,Male,28,120
196,196,98,Male,29,285
111,111,126,Female,28,277
103,103,129,Female,31,52
89,89,131,Male,19,168
123,123,107,Female,20,297
16,16,154,Female,38,212
154,154,146,Male,35,9
169,169,80,Female,32,63
100,100,145,Male,27,51
185,185,94,Female,36,58
59,59,144,Male,39,282
158,158,130,Male,33,44
99,99,118,Female,31,95
111,175,160,Male,28,275
198,198,94,Male,10,302
97,97,88,Male,34,311
101,101,136,Female,20,123
152,152,141,Female,34,232
169,169,131,Female,32,73
48,48,92,Female,21,241
158,72,119,Male,33,42
79,79,124,Female,38,287
179,179,130,Male,37,253
120,120,108,Male,47,157
18,18,105,Male,21,233
67,42,125,Female,26,78
185,185,107,Female,36,58
140,140,111,Male,31,214
91,91,153,Male,28,275
16,16,146,Male,38,208
115,115,135,Male,30,176
24,13,130,Male,37,96
41,41,107,Male,30,161
116,116,112,Female,25,135
160,160,130,Female,29,311
55,11,145,Female,31,228
108,108,100,Male,30,294
199,199,118,Male,24,178
174,174,106,Female,25,157
55,55,118,Male,31,228
160,160,141,Female,29,305
50,50,84,Male,22,35
78,78,105,Female,22,288
134,134,93,Male,30,145
74,74,147,Male,38,260
182,148,138,Male,30,73
33,33,135,Female,36,187
89,89,108,Male,19,164
161,161,130,Female,39,80
22,22,131,Female,33,117
67,67,89,Male,26,80
106,106,131,Male,21,202
25,17,125,Female,36,236
120,120,140,Female,47,161
148,148,125,Male,30,88
113,113,109,Female,33,149
100,100,154,Male,27,49
124,124,129,Female,29,85
170,170,130,Female,31,131
85,85,71,Male,20,33
86,45,134,Male,21,193
183,183,117,Female,25,181
126,126,116,Male,43,175
88,88,146,Female,44,136
140,140,125,Female,31,221
196,196,96,Female,29,286
181,181,118,Male,34,202
198,198,105,Male,10,298
157,157,132,Male,32,82
76,76,133,Female,35,38
119,119,87,Female,49,45
38,38,139,Female,29,33
98,98,128,Male,29,69
96,96,127,Female,39,141
66,66,125,Male,51,223
191,191,119,Male,29,254
28,28,138,Male,17,92
81,81,120,Male,27,275
135,135,129,Female,17,325
121,81,138,Male,28,201
130,130,101,Male,32,201
88,59,98,Male,44,132
31,31,109,Female,33,202
67,67,110,Female,26,76
99,99,115,Female,31,89
165,165,79,Female,31,149
95,95,126,Female,39,203
94,94,123,Male,39,159
149,149,133,Female,28,280
14,14,128,Male,41,305
83,83,124,Female,33,10
91,91,143,Female,28,268
170,170,144,Male,31,139
102,102,136,Female,23,242
102,102,94,Female,23,244
25,25,125,Female,36,224
148,148,158,Female,30,88
175,175,115,Male,60,313
40,40,133,Male,28,187
171,171,104,Female,37,27
15,15,97,Male,56,50
133,133,145,Female,52,218
172,172,135,Male,30,251
153,153,116,Male,33,86
97,97,106,Female,34,313
41,41,115,Male,30,161
35,35,134,Female,42,79
56,56,127,Male,37,206
143,143,143,Female,26,303
9,9,103,Female,45,104
8,8,160,Male,23,108
166,166,87,Female,21,239
134,134,119,Male,30,142
88,88,152,Male,44,134
90,90,139,Female,33,97
13,13,85,Female,20,293
182,182,107,Male,30,67
87,87,97,Female,35,207
191,191,125,Female,29,250
22,22,111,Male,33,104
132,132,130,Male,30,334
194,194,97,Male,19,59
152,152,155,Male,34,242
199,24,100,Male,24,184
199,199,107,Male,24,176
1,1,121,Female,34,97
49,49,152,Male,28,124
196,196,128,Female,29,283
77,77,105,Female,59,67
41,41,103,Male,30,165
179,179,120,Male,37,255
97,97,91,Female,34,313
50,26,139,Male,22,38
55,55,112,Male,31,230
58,58,167,Male,30,262
81,81,141,Female,27,278
167,167,101,Male,37,224
52,52,80,Male,28,138
68,68,132,Male,46,304
197,197,113,Female,30,51
53,53,109,Female,46,95
49,49,132,Male,28,124
76,76,150,Male,35,33
160,160,96,Male,29,309
112,112,110,Male,38,263
67,67,117,Male,26,79
170,170,122,Female,31,138
140,138,102,Female,31,215
83,83,171,Male,33,4
119,119,111,Female,49,42
104,104,127,Female,28,147
73,73,107,Male,39,193
181,181,132,Female,34,210
119,119,125,Male,49,44
44,44,144,Male,30,248
184,184,157,Male,35,274
140,140,100,Female,31,213
111,111,96,Female,28,282
137,137,145,Male,63,112
184,184,110,Female,35,280
32,32,128,Female,41,267
75,27,149,Female,36,272
180,180,106,Female,20,18
165,165,97,Male,31,150
175,175,143,Male,60,311
101,101,113,Male,20,122
37,37,105,Female,47,23
100,100,120,Male,27,46
22,50,148,Female,33,118
102,102,146,Female,23,243
170,170,152,Female,31,137
153,153,135,Female,33,84
115,115,135,Female,30,181
103,103,129,Male,31,62
199,199,121,Female,24,182
23,23,119,Male,31,305
54,54,100,Female,22,261
20,27,134,Female,37,107
94,94,127,Female,39,160
61,61,133,Female,31,261
169,169,111,Male,32,68
175,175,139,Male,60,309
169,169,107,Male,32,69
33,33,135,Male,36,187
43,43,129,Female,33,212
117,117,134,Male,26,101
39,39,95,Female,20,158
140,140,109,Female,31,218
20,20,133,Female,37,108
181,181,128,Male,34,206
36,36,121,Female,35,14
127,127,146,Female,43,86
102,102,87,Male,23,248
29,64,139,Male,30,158
190,190,102,Female,45,95
192,126,126,Male,24,122
31,19,101,Female,33,210
95,95,116,Male,39,213
99,99,120,Female,31,92
108,108,132,Female,30,292
196,196,122,Female,29,291
140,140,105,Female,31,217
173,173,110,Female,29,153
195,3,109,Female,38,262
120,120,139,Male,47,157
119,119,126,Male,49,45
113,126,146,Female,33,150
41,41,137,Male,30,167
102,102,121,Female,23,240
118,118,102,Male,34,233
115,115,125,Female,30,174
157,41,137,Female,32,83
53,53,132,Female,46,98
105,105,117,Female,39,335
38,31,120,Female,29,37
92,92,120,Female,32,77
191,191,129,Female,29,258
25,25,93,Male,36,231
126,61,77,Female,43,173
62,62,114,Male,44,299
74,74,150,Female,38,255
142,142,100,Male,40,8
157,157,126,Female,32,83
17,15,83,Female,23,89
139,139,142,Male,29,79
130,130,141,Female,32,213
146,146,122,Female,29,82
143,143,111,Female,26,309
127,127,129,Female,43,88
96,96,147,Male,39,140
195,195,112,Male,38,256
68,96,139,Male,46,305
108,108,133,Female,30,288
172,172,112,Female,30,253
160,80,117,Male,29,307
46,46,122,Female,27,149
126,126,88,Female,43,174
146,146,124,Male,29,82
17,17,115,Female,23,100
184,184,142,Male,35,273
191,133,113,Female,29,251
71,71,110,Female,24,285
22,22,111,Female,33,116
156,156,116,Male,37,316
102,102,131,Female,23,243
77,77,158,Male,59,54
73,47,135,Female,39,200
109,3,104,Female,26,122
185,185,114,Female,36,56
26,26,99,Female,29,90
81,81,132,Male,27,278
52,52,108,Female,28,144
109,109,89,Female,26,124
14,14,137,Male,41,299
31,31,84,Female,33,206
187,187,120,Male,35,211
150,150,126,Male,23,237
185,113,95,Female,36,58
128,128,120,Female,46,125
130,142,136,Male,32,212
172,172,143,Male,30,257
16,16,149,Male,38,215
97,97,104,Female,34,319
44,44,139,Male,30,240
90,90,96,Female,33,96
168,168,94,Female,22,200
30,30,110,Female,35,278
82,82,119,Female,43,237
44,44,129,Male,30,236
169,169,130,Male,32,64
54,54,117,Female,22,258
65,65,134,Male,40,200
56,56,123,Female,37,202
42,42,118,Female,54,318
24,24,156,Male,37,93
28,28,107,Female,17,90
125,125,110,Male,23,149
180,180,120,Female,20,16
141,141,134,Male,30,194
17,17,140,Female,23,102
200,200,127,Male,28,240
83,83,126,Male,33,5
97,97,111,Female,34,321
123,123,117,Female,20,294
97,97,124,Male,34,311
166,166,121,Female,21,231
183,183,116,Male,25,190
125,125,118,Female,23,156
115,39,116,Male,30,173
20,20,134,Female,37,109
198,198,113,Male,10,303
173,173,96,Female,29,149
118,118,118,Male,34,232
169,169,100,Female,32,65
148,148,117,Female,30,85
29,11,133,Male,30,159
71,71,128,Male,24,286
48,48,80,Female,21,244
169,169,136,Female,32,64
121,121,143,Female,28,203
5,30,129,Female,27,78
12,12,140,Female,35,163
166,140,73,Female,21,235
66,66,150,Male,51,226
105,105,155,Male,39,332
50,50,112,Male,22,35
82,82,143,Female,43,247
193,193,132,Female,25,36
102,102,125,Male,23,242
1,1,110,Male,34,86
193,193,127,Female,25,40
132,132,110,Male,30,335
76,2,119,Male,35,32
45,45,144,Male,48,286
78,78,106,Female,22,287
44,44,136,Male,30,241
41,41,123,Female,30,168
4,4,141,Female,31,128
166,166,113,Male,21,238
119,109,101,Male,49,43
198,198,86,Male,10,302
77,77,139,Male,59,60
79,79,138,Male,38,287
72,72,105,Female,26,285
90,90,99,Female,33,98
137,137,123,Male,63,117
168,168,118,Male,22,197
14,14,128,Female,41,299
131,131,104,Female,24,275
148,148,127,Male,30,93
65,65,142,Male,40,205
145,145,148,Male,26,28
38,38,135,Female,29,34
128,128,160,Female,46,128
76,76,133,Male,35,39
30,30,102,Female,35,280
186,186,97,Female,28,22
31,31,93,Female,33,204
51,51,132,Male,40,264
163,163,155,Male,26,117
14,14,106,Male,41,311
193,193,110,Male,25,30
163,163,116,Male,26,114
68,68,126,Female,46,300
70,70,115,Male,34,211
32,32,111,Female,41,270
166,166,109,Female,21,241
120,120,125,Male,47,159
179,179,147,Male,37,255
11,3,117,Male,24,192
108,108,139,Female,30,296
161,161,96,Male,39,82
3,14,148,Male,42,43
91,91,128,Male,28,267
182,182,112,Male,30,60
114,114,131,Male,51,294
127,127,111,Female,43,90
1,1,91,Female,34,88
125,16,161,Female,23,150
115,115,128,Male,30,183
107,107,114,Female,35,331
22,22,109,Female,33,113
60,60,153,Female,32,222
119,119,130,Male,49,41
79,79,131,Male,38,289
56,32,120,Male,37,207
27,27,113,Male,53,307
44,16,121,Male,30,242
121,121,143,Male,28,208
60,60,121,Male,32,226
164,173,114,Female,32,58
135,135,116,Male,17,316
195,12,106,Female,38,263
182,182,128,Male,30,68
156,156,90,Male,37,320
46,46,145,Female,27,156
180,180,128,Female,20,27
31,31,126,Male,33,203
105,105,107,Male,39,335
147,147,114,Male,24,222
21,21,137,Female,16,211
3,94,117,Male,42,48
185,185,108,Female,36,56
35,35,155,Male,42,81
114,114,115,Female,51,298
67,67,118,Female,26,81
0,0,86,Male,27,115
173,173,139,Male,29,149
116,116,107,Male,25,135
114,114,97,Female,51,308
18,18,115,Female,21,233
185,185,110,Female,36,60
78,78,96,Female,22,290
105,105,116,Female,39,335
104,104,126,Female,28,145
77,77,145,Male,59,58
0,0,171,Male,13,247
118,118,126,Female,34,238
4,4,176,Female,31,120
120,120,142,Male,47,158
108,108,135,Male,30,299
108,108,145,Female,30,295
135,135,123,Female,17,319
82,82,147,Male,43,237
107,107,141,Male,35,328
77,77,129,Male,59,65
137,137,146,Female,63,108
113,113,131,Male,33,149
9,9,153,Male,45,98
17,17,126,Male,23,86
185,185,114,Female,36,54
162,162,150,Female,32,146
164,164,110,Female,32,58
200,200,110,Female,28,244
112,112,160,Male,38,259
119,119,122,Female,49,50
172,172,132,Male,30,258
103,103,126,Male,31,57
9,9,118,Female,45,103
87,87,116,Male,35,210
128,107,129,Male,46,130
90,77,144,Female,33,101
112,112,139,Male,38,264
46,46,124,Female,27,154
190,190,114,Female,45,92
84,84,150,Female,33,107
88,88,114,Female,44,135
177,177,97,Male,46,21
173,173,141,Female,29,143
57,57,102,Female,35,189
79,79,119,Male,38,291
109,95,119,Male,26,125
139,139,106,Male,29,80
5,5,145,Male,27,74
184,53,114,Male,35,271
167,167,140,Female,37,227
197,197,109,Female,30,48
190,190,110,Female,45,93
124,124,105,Female,29,86
108,108,145,Female,30,288
36,36,117,Female,35,14
162,162,127,Male,32,150
146,146,123,Female,29,77
191,55,139,Female,29,259
77,51,143,Female,59,60
76,76,116,Male,35,33
106,106,108,Female,21,202
177,177,102,Male,46,24
15,15,134,Male,56,49
98,98,120,Female,29,72
87,67,75,Female,35,214
18,18,74,Female,21,229
148,148,122,Female,30,89
1,1,98,Female,34,88
9,9,147,Male,45,104
39,39,108,Female,20,164
115,115,144,Male,30,178
179,179,141,Male,37,254
196,196,145,Female,29,290
172,172,118,Female,30,252
58,58,129,Male,30,258
61,25,87,Female,31,268
172,172,133,Male,30,255
22,22,130,Female,33,115
25,25,152,Female,36,231
150,77,114,Male,23,244
193,193,107,Female,25,29
72,72,91,Female,26,284
153,153,131,Female,33,85
24,24,148,Female,37,96
162,162,125,Male,32,141
200,200,148,Male,28,238
161,140,119,Female,39,72
75,75,110,Male,36,271
20,20,94,Female,37,113
9,12,128,Male,45,95
92,92,138,Male,32,78
35,35,137,Male,42,79
15,15,140,Male,56,47
177,177,145,Male,46,21
150,150,121,Female,23,238
165,165,104,Female,31,151
136,136,123,Female,45,258
151,151,129,Female,37,245
89,89,141,Male,19,164
143,143,145,Female,26,301
136,136,106,Female,45,251
100,100,122,Male,27,52
71,71,80,Female,24,285
123,123,112,Male,20,293
150,150,116,Male,23,242
80,80,163,Male,36,133
199,199,122,Female,24,183
25,25,115,Male,36,230
136,114,113,Male,45,245
72,72,98,Female,26,286
22,22,135,Male,33,112
105,105,107,Female,39,335
9,9,150,Female,45,100
131,131,75,Female,24,279
183,183,135,Female,25,188
37,37,135,Male,47,26
53,53,128,Male,46,98
186,186,120,Female,28,22
2,2,115,Male,20,126
107,107,115,Female,35,331
73,73,126,Male,39,194
26,26,113,Female,29,87
75,75,128,Female,36,269
133,133,134,Male,52,213
89,89,182,Male,19,166
64,64,142,Female,28,5
200,200,126,Male,28,245
146,78,104,Female,29,85
21,21,122,Male,16,214
192,192,140,Male,24,122
49,49,120,Female,28,122
179,147,117,Male,37,259
52,69,115,Female,28,139
173,173,149,Male,29,146
194,194,137,Male,19,59
108,108,120,Female,30,296
27,31,112,Male,53,304
120,157,150,Female,47,156
160,160,115,Female,29,307
143,70,139,Female,26,307
179,179,129,Male,37,262
53,53,145,Male,46,92
172,172,143,Male,30,258
105,105,133,Female,39,329
191,191,106,Female,29,253
64,47,144,Female,28,7
36,36,114,Female,35,14
91,90,111,Female,28,275
20,3,109,Female,37,115
139,104,127,Male,29,76
101,101,117,Male,20,121
65,65,155,Male,40,199
91,91,122,Female,28,270
168,168,108,Female,22,200
7,7,117,Male,41,240
106,106,118,Male,21,203
175,175,149,Male,60,312
10,10,94,Male,26,120
184,184,134,Male,35,277
156,156,131,Female,37,321
112,112,96,Male,38,258
88,88,127,Male,44,136
12,12,114,Female,35,158
114,114,102,Male,51,297
199,199,149,Male,24,180
27,27,106,Male,53,304
5,5,133,Male,27,82
49,6,145,Male,28,122
71,71,151,Male,24,284
114,114,131,Male,51,301
171,171,143,Male,37,25
183,183,92,Male,25,183
171,171,102,Female,37,25
78,78,92,Female,22,285
176,176,99,Male,26,101
79,38,119,Female,38,289
77,77,132,Male,59,68
110,25,141,Male,38,43
172,172,101,Female,30,250
75,75,98,Female,36,273
43,43,83,Female,33,208
47,47,156,Male,36,21
147,147,121,Female,24,220
124,124,99,Female,29,86
107,107,143,Female,35,333
195,195,115,Male,38,257
66,66,143,Male,51,225
131,131,93,Female,24,278
108,108,145,Male,30,299
117,117,138,Male,26,102
154,154,134,Male,35,2
163,163,114,Male,26,122
140,140,116,Male,31,217
76,76,129,Male,35,40
152,152,111,Female,34,244
173,173,122,Male,29,148
61,61,122,Male,31,256
21,18,150,Male,16,221
25,25,110,Female,36,227
178,178,89,Female,53,221
28,28,98,Male,17,91
163,163,106,Female,26,117
57,57,144,Female,35,180
18,18,115,Female,21,238
71,71,122,Female,24,294
158,4,146,Female,33,48
136,136,114,Female,45,251
129,129,141,Female,22,272
100,100,133,Male,27,45
42,42,98,Male,54,321
54,54,101,Female,22,261
89,89,121,Female,19,167
149,149,97,Female,28,269
173,173,149,Female,29,144
96,96,105,Female,39,153
114,114,124,Female,51,297
141,141,139,Female,30,198
99,60,96,Female,31,89
19,19,110,Female,45,250
146,146,159,Female,29,78
182,182,134,Male,30,80
136,53,116,Male,45,248
114,114,126,Female,51,299
115,115,97,Female,30,181
4,4,141,Female,31,129
86,86,162,Male,21,197
124,124,82,Female,29,91
9,9,121,Male,45,98
113,113,103,Female,33,147
153,153,112,Female,33,84
77,77,133,Male,59,63
117,21,159,Male,26,107
194,194,127,Male,19,57
109,109,104,Female,26,126
70,70,149,Male,34,216
19,16,107,Male,45,249
200,200,108,Male,28,236
73,73,123,Male,39,196
110,110,144,Male,38,48
54,54,99,Female,22,258
137,137,97,Female,63,106
131,131,107,Female,24,279
115,115,128,Male,30,183
32,28,137,Female,41,271
68,68,107,Female,46,304
137,137,103,Male,63,114
43,43,112,Female,33,214
145,145,132,Female,26,17
90,90,117,Female,33,97
196,196,101,Female,29,288
78,71,97,Female,22,287
49,33,135,Male,28,126
67,67,114,Female,26,81
41,41,145,Male,30,161
178,178,84,Female,53,223
8,8,141,Female,23,116
19,19,125,Male,45,248
25,25,119,Male,36,230
176,176,163,Female,26,101
148,148,139,Male,30,86
155,155,95,Male,42,104
11,11,148,Female,24,190
98,98,111,Male,29,70
